8,2,3.528594970703125e-05,2.288818359375e-05,True
8,3,4.792213439941406e-05,2.574920654296875e-05,True
8,4,0.00013589859008789062,3.790855407714844e-05,True
8,5,6.29425048828125e-05,3.1948089599609375e-05,True
8,6,7.200241088867188e-05,3.504753112792969e-05,True
16,2,0.0003211498260498047,4.38690185546875e-05,True
16,3,5.6743621826171875e-05,3.0040740966796875e-05,True
16,4,5.888938903808594e-05,3.0279159545898438e-05,True
16,5,9.799003601074219e-05,4.506111145019531e-05,True
16,6,8.893013000488281e-05,4.029273986816406e-05,True
32,2,4.57763671875e-05,2.5033950805664062e-05,True
32,3,8.296966552734375e-05,3.2901763916015625e-05,True
32,4,8.702278137207031e-05,4.029273986816406e-05,True
32,5,9.894371032714844e-05,3.910064697265625e-05,True
32,6,0.00023603439331054688,0.00012111663818359375,True
