image,size,run,proof_gen_s,verify_s,ok
image(1).jpg,32,0,0.0,0.0,
image(10).jpg,32,0,0.0,0.0,
image(11).jpg,32,0,0.0,0.0,
image(12).jpg,32,0,0.0,0.0,
image(13).jpg,32,0,0.0,0.0,
image(14).jpg,32,0,0.0,0.0,
image(15).jpg,32,0,0.0,0.0,
image(16).jpg,32,0,0.0,0.0,
image(17).jpg,32,0,0.0,0.0,
image(18).jpg,32,0,0.0,0.0,
image(19).jpg,32,0,0.0,0.0,
image(2).jpg,32,0,0.0,0.0,
image(20).jpg,32,0,0.0,0.0,
image(21).jpg,32,0,5.91278076171875e-05,2.3126602172851562e-05,True
image(22).jpg,32,0,4.38690185546875e-05,2.9802322387695312e-05,True
image(23).jpg,32,0,4.935264587402344e-05,2.288818359375e-05,True
image(27).jpg,32,0,6.508827209472656e-05,3.790855407714844e-05,True
image(28).jpg,32,0,6.175041198730469e-05,2.8133392333984375e-05,True
image(3).jpg,32,0,0.0,0.0,
image(30).jpg,32,0,5.793571472167969e-05,2.8133392333984375e-05,True
image(31).jpg,32,0,0.0,0.0,
image(34).jpg,32,0,0.0,0.0,
image(35).jpg,32,0,0.0001010894775390625,2.8848648071289062e-05,True
image(36).jpg,32,0,3.886222839355469e-05,2.193450927734375e-05,True
image(37).jpg,32,0,3.814697265625e-05,2.09808349609375e-05,True
image(38).jpg,32,0,3.314018249511719e-05,2.09808349609375e-05,True
image(4).jpg,32,0,0.0,0.0,
image(41).jpg,32,0,0.0,0.0,
image(42).jpg,32,0,0.0,0.0,
image(43).jpg,32,0,0.0,0.0,
image(44).jpg,32,0,4.029273986816406e-05,2.3126602172851562e-05,True
image(45).jpg,32,0,3.409385681152344e-05,2.193450927734375e-05,True
image(46).jpg,32,0,4.792213439941406e-05,2.4080276489257812e-05,True
image(47).jpg,32,0,3.910064697265625e-05,2.193450927734375e-05,True
image(48).jpg,32,0,3.600120544433594e-05,2.2172927856445312e-05,True
image(5).jpg,32,0,0.0,0.0,
image(6).jpg,32,0,0.0,0.0,
image(7).jpg,32,0,0.0,0.0,
image(8).jpg,32,0,0.0,0.0,
image(9).jpg,32,0,0.0,0.0,
image(1).jpg,32,1,0.0,0.0,
image(10).jpg,32,1,0.0,0.0,
image(11).jpg,32,1,0.0,0.0,
image(12).jpg,32,1,0.0,0.0,
image(13).jpg,32,1,0.0,0.0,
image(14).jpg,32,1,0.0,0.0,
image(15).jpg,32,1,0.0,0.0,
image(16).jpg,32,1,0.0,0.0,
image(17).jpg,32,1,0.0,0.0,
image(18).jpg,32,1,0.0,0.0,
image(19).jpg,32,1,0.0,0.0,
image(2).jpg,32,1,0.0,0.0,
image(20).jpg,32,1,0.0,0.0,
image(21).jpg,32,1,5.221366882324219e-05,2.4080276489257812e-05,True
image(22).jpg,32,1,3.314018249511719e-05,2.2172927856445312e-05,True
image(23).jpg,32,1,5.078315734863281e-05,2.3126602172851562e-05,True
image(27).jpg,32,1,9.107589721679688e-05,2.9802322387695312e-05,True
image(28).jpg,32,1,5.793571472167969e-05,2.6226043701171875e-05,True
image(3).jpg,32,1,0.0,0.0,
image(30).jpg,32,1,0.00013685226440429688,4.291534423828125e-05,True
image(31).jpg,32,1,0.0,0.0,
image(34).jpg,32,1,0.0,0.0,
image(35).jpg,32,1,3.814697265625e-05,2.09808349609375e-05,True
image(36).jpg,32,1,3.2901763916015625e-05,2.47955322265625e-05,True
image(37).jpg,32,1,0.00011110305786132812,0.00043392181396484375,True
image(38).jpg,32,1,3.790855407714844e-05,2.2172927856445312e-05,True
image(4).jpg,32,1,0.0,0.0,
image(41).jpg,32,1,0.0,0.0,
image(42).jpg,32,1,0.0,0.0,
image(43).jpg,32,1,0.0,0.0,
image(44).jpg,32,1,3.600120544433594e-05,2.193450927734375e-05,True
image(45).jpg,32,1,3.504753112792969e-05,2.0265579223632812e-05,True
image(46).jpg,32,1,3.910064697265625e-05,2.3126602172851562e-05,True
image(47).jpg,32,1,3.409385681152344e-05,2.09808349609375e-05,True
image(48).jpg,32,1,4.100799560546875e-05,2.47955322265625e-05,True
image(5).jpg,32,1,0.0,0.0,
image(6).jpg,32,1,0.0,0.0,
image(7).jpg,32,1,0.0,0.0,
image(8).jpg,32,1,0.0,0.0,
image(9).jpg,32,1,0.0,0.0,
