image,size,run,proof_gen_s,verify_s,ok
image(1).jpg,8,0,0.0,0.0,
image(10).jpg,8,0,0.0,0.0,
image(11).jpg,8,0,0.0,0.0,
image(12).jpg,8,0,0.0,0.0,
image(13).jpg,8,0,0.0,0.0,
image(14).jpg,8,0,0.0,0.0,
image(15).jpg,8,0,0.0,0.0,
image(16).jpg,8,0,0.0,0.0,
image(17).jpg,8,0,0.0,0.0,
image(18).jpg,8,0,0.0,0.0,
image(19).jpg,8,0,0.0,0.0,
image(2).jpg,8,0,0.0,0.0,
image(20).jpg,8,0,0.0,0.0,
image(21).jpg,8,0,2.5987625122070312e-05,1.9788742065429688e-05,True
image(22).jpg,8,0,2.5987625122070312e-05,2.002716064453125e-05,True
image(23).jpg,8,0,5.1975250244140625e-05,4.2438507080078125e-05,True
image(27).jpg,8,0,9.799003601074219e-05,5.507469177246094e-05,True
image(28).jpg,8,0,3.0994415283203125e-05,2.09808349609375e-05,True
image(3).jpg,8,0,0.0,0.0,
image(30).jpg,8,0,2.8133392333984375e-05,2.09808349609375e-05,True
image(31).jpg,8,0,0.0,0.0,
image(34).jpg,8,0,0.0,0.0,
image(35).jpg,8,0,2.6226043701171875e-05,2.002716064453125e-05,True
image(36).jpg,8,0,2.7894973754882812e-05,2.002716064453125e-05,True
image(37).jpg,8,0,2.8848648071289062e-05,2.09808349609375e-05,True
image(38).jpg,8,0,2.7179718017578125e-05,2.0265579223632812e-05,True
image(4).jpg,8,0,0.0,0.0,
image(41).jpg,8,0,0.0,0.0,
image(42).jpg,8,0,0.0,0.0,
image(43).jpg,8,0,0.0,0.0,
image(44).jpg,8,0,0.0001647472381591797,4.1961669921875e-05,True
image(45).jpg,8,0,3.409385681152344e-05,2.6226043701171875e-05,True
image(46).jpg,8,0,3.0994415283203125e-05,2.193450927734375e-05,True
image(47).jpg,8,0,2.7179718017578125e-05,2.09808349609375e-05,True
image(48).jpg,8,0,2.8133392333984375e-05,1.9788742065429688e-05,True
image(5).jpg,8,0,0.0,0.0,
image(6).jpg,8,0,0.0,0.0,
image(7).jpg,8,0,0.0,0.0,
image(8).jpg,8,0,0.0,0.0,
image(9).jpg,8,0,0.0,0.0,
image(1).jpg,8,1,0.0,0.0,
image(10).jpg,8,1,0.0,0.0,
image(11).jpg,8,1,0.0,0.0,
image(12).jpg,8,1,0.0,0.0,
image(13).jpg,8,1,0.0,0.0,
image(14).jpg,8,1,0.0,0.0,
image(15).jpg,8,1,0.0,0.0,
image(16).jpg,8,1,0.0,0.0,
image(17).jpg,8,1,0.0,0.0,
image(18).jpg,8,1,0.0,0.0,
image(19).jpg,8,1,0.0,0.0,
image(2).jpg,8,1,0.0,0.0,
image(20).jpg,8,1,0.0,0.0,
image(21).jpg,8,1,2.8371810913085938e-05,2.193450927734375e-05,True
image(22).jpg,8,1,2.7894973754882812e-05,2.2172927856445312e-05,True
image(23).jpg,8,1,2.7894973754882812e-05,2.09808349609375e-05,True
image(27).jpg,8,1,2.8848648071289062e-05,2.193450927734375e-05,True
image(28).jpg,8,1,0.00010609626770019531,3.719329833984375e-05,True
image(3).jpg,8,1,0.0,0.0,
image(30).jpg,8,1,2.6941299438476562e-05,2.002716064453125e-05,True
image(31).jpg,8,1,0.0,0.0,
image(34).jpg,8,1,0.0,0.0,
image(35).jpg,8,1,2.6941299438476562e-05,2.002716064453125e-05,True
image(36).jpg,8,1,2.7894973754882812e-05,1.9788742065429688e-05,True
image(37).jpg,8,1,4.792213439941406e-05,2.193450927734375e-05,True
image(38).jpg,8,1,2.6941299438476562e-05,2.002716064453125e-05,True
image(4).jpg,8,1,0.0,0.0,
image(41).jpg,8,1,0.0,0.0,
image(42).jpg,8,1,0.0,0.0,
image(43).jpg,8,1,0.0,0.0,
image(44).jpg,8,1,2.6941299438476562e-05,2.0265579223632812e-05,True
image(45).jpg,8,1,3.218650817871094e-05,2.4080276489257812e-05,True
image(46).jpg,8,1,2.8848648071289062e-05,2.09808349609375e-05,True
image(47).jpg,8,1,2.6702880859375e-05,2.002716064453125e-05,True
image(48).jpg,8,1,2.6226043701171875e-05,1.9073486328125e-05,True
image(5).jpg,8,1,0.0,0.0,
image(6).jpg,8,1,0.0,0.0,
image(7).jpg,8,1,0.0,0.0,
image(8).jpg,8,1,0.0,0.0,
image(9).jpg,8,1,0.0,0.0,
